Ranking,Profile,Followings,Followers,Description
1,Guam PDN (@GuamPDN),143,20608,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,KUAM News (@kuamnews),78,17934,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,グアム政府観光局（公式） (@visitguam_jp),59,11263,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,Guam Daily Post (@PostGuam),239,5235,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,Frank Camacho (@crankeffect),459,3994,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,University of Guam (@UOGTriton),75,3896,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,The Guam Guide (@TheGuamGuide),1369,3165,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,GuamSportsNetwork (@Guam_Sports),50,3117,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,Power 98 (@POWER98GUAM),404,2819,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,GTA TeleGuam (@GTATeleGuam),836,2257,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,Eddie Baza Calvo (@governorcalvo),408,1926,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,Atkins Kroll Guam (@AtkinsKrollGuam),609,1025,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,Cold Stone Guam (@ColdStoneGuam),33,781,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,Dusit Thani Guam Resort (@DusitThaniGuam),313,703,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,Hit Radio 100 FM (@hitradio100),0,215,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
