Ranking,Profile,Followings,Followers,Description
1,Samaritan's Purse (@SamaritansPurse),38407,1022168,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,Cerveza Toña (@cervezatona),3108,10676,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,Nouvelle-Calédonie (@Nouvl_Caledonie),666,5874,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,Eric Jally  💫 (@netwizz),1398,3793,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,GouvernementNC (@GouvNC),87,3377,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,Congrès NC (@CongresNC),53,1925,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,Nautile (@nautilenc),601,650,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,Le Méridien Noumea (@MeridienNoumea),120,601,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,ChallengerBNPNoumea (@ChallengerNCL),338,296,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,Ramada Nouméa (@RamadaNoumea),51,250,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,Zannonce NC (@ZannonceNC),178,204,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,ONnc (@ObsNumNC),10,142,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,Groupama Race (@GroupamaRaceNC),61,130,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,FERACCI &amp; PARTNERS (@FeracciPartners),190,49,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,Sheraton Deva (@SheratonDeva),6,21,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
16,Shell Pacific MEGArando (@Megarando_NC),42,8,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
17,Casino De Noumea (@CasinoDeNoumea),1,4,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
