Ranking,Profile,Followings,Followers,Description
1,ㅤY R (@BENSTAGRAM),64593,91666,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,Aruba (@aruba),1046,56398,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,Rachel Brathen (@RachelBrathen),1533,39131,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,Aruba Marriott (@arubamarriott),771,12855,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,Divi &amp; TamarijnAruba (@TamarijnAruba),262,11105,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,Renaissance Aruba (@RenAruba),1170,8679,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
7,Holiday Inn Aruba (@HolidayInnAruba),501,6990,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
8,24ora (@24oranews),0,5695,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
9,Hilton Aruba (@HiltonAruba),698,3939,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
10,Aruba (@ArubaToerisme),963,3090,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
11,Divi&amp;Tamarijn Aruba (@DiviTamarijnLA),579,1656,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
12,Queen Beatrix International Airport - Aruba (@ARUBA_AIRPORT),241,1221,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
13,soulbeachmusic (@soulbeachmusic),205,1138,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
14,DigicelAruba (@DigicelAruba),210,941,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
15,SETAR (@SETARnv),13,672,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
16,Inclusive (@AllInclusiivebr),180,464,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
17,McDonald's CA (@McDonalds_CA),46,217,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
18,PriceSmartAruba (@PriceSmartar),203,183,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
19,Telearuba (@Telearuba),105,75,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
20,L'Oreal Paris Aruba (@LorealAruba),8,1,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
